smiles
C1=CC=CC=C1
CC
CO
[NH4+]
[OH-]
CN
CCC
C=O
C[NH3+]
C1=CC=NC=C1
C#N
C1CCCCC1
C1CCNCC1
CF
CCl
C1CC[NH2+]CC1
C1CC1
C1=C[NH]N=C1
C1=CSC=C1
C1CCNC1
CC1=CC=CC=C1
CS
C1CCCC1
CCCC
C1=CN=CN=C1
CBr
C1=CSC=N1
C1C[NH2+]CCN1
C1=COC=C1
NN
C[O-]
C1CCOCC1
C1CCOC1
C1CC[NH2+]C1
C1=C[NH]C=N1
C1=CCCC=C1
O=S
C=C
C=N
OC1=CC=CC=C1
C1=C[NH]C=C1
CCO
C=CC
C1CCC1
C1COCCN1
C1=CC=C2[NH]C=CC2=C1
C1COCC[NH2+]1
NC1=CC=CC=C1
C1CNCCN1
[SiH4]
[NH3+][O-]
[NH2+]=O
C1=CC=C2C=CC=CC2=C1
CCCCC
C1=CCCCC1
C1=CCNC=C1
C1=CON=C1
C1=CNCC1
NO
C1=CC=C(C2=CC=CC=C2)C=C1
C1=N[NH]C=N1
C#C
C1=CC=C2[NH]C=NC2=C1
CC[NH3+]
C1=NOC=N1
C1=NN=C[NH]1
CCCCCC
C1CSCN1
C1=CN=CC=N1
C1=CC=C(N2CCCC2)C=C1
C1=NCCN1
C=S
C=NN
C1=C[NH+]=C[NH]1
C1=CC=C(N2C=CC=N2)C=C1
C1=CC=C(N2CCNCC2)C=C1
C1=CC=C2NCCC2=C1
C1=CC=C2SC=NC2=C1
C1CNCN1
C1=C[NH]N=N1
C1=NN=CS1
C1=CCCC1
C1=CNCNC1
CCC[NH3+]
C#CC
C1=CC2=CC=CN=C2C=C1
C1=CC=C2OCOC2=C1
C1CCCCCC1
C=[NH2+]
C1=CC=[NH+]C=C1
C1CCCNCC1
C1=COC=N1
C1=CC=C2CNCC2=C1
CCCCCCCC
C1CNC1
NS
C1=CC=C2OC=CC2=C1
CC#N
C1=CCNC1
C1=CC=C2NCCCC2=C1
C1=CC=C2OCCOC2=C1
[NH3+]O
C1=CC=C2CCCC2=C1
C1CCSC1
CCCO
N=N
SC1=CC=CC=C1
C1=CC=C2CCCCC2=C1
C1=CC=C2N=CC=CC2=C1
C1=CN=NC=C1
C1=CC=C2SC=CC2=C1
C1=NN=CO1
CP
CCCC[NH3+]
C1=NN=N[NH]1
CCC#N
C1=CC=C2CNCCC2=C1
CC1=CC=CO1
CCCl
[NH2-]
C1CNCCNC1
C1=CC=C(C2CCCCC2)C=C1
CC1CCCCC1
C1=CC=C(N2C=CC=C2)C=C1
OS
O=P
CC1=CC=CS1
CC1=CC=CC=N1
C1=CC=C(C2=N[NH]C=C2)C=C1
C=CCC
CC1=CC=CN=C1
CN1C=CC=N1
OCO
C1=CC=NN=C1
C1=CC2=C(C=C1)[NH]C=C2
N=O
C1=N[NH]N=C1
NC1=NC=CC=N1
CC1CC1
CC=O
OP
CCBr
C1CCCCCCC1
NC1=CC=CC=N1
CC1CCCC1
CC1=CC=NC=C1
C1=CC=C2N=CN=CC2=C1
C1=CC=C(C2=CC=CC=N2)C=C1
CC1CCC1
C1=CC2=C(C=C1)OCO2
CCN
CCCCO
C1=CC=C(C2=CC=N[NH]2)C=C1
C1=N[NH]N=N1
NC=O
COCO
C1=CC2=CN=CN=C2C=C1
CC#CC
C1=NC=C2C=CSC2=N1
C1=CC2=C(C=C1)OCCO2
C1=CC2=C(C=C1)SC=N2
NC1=CC=NC=N1
CCCCl
CCF
CON
CC1=CC=CC2=CC=CC=C12
C=NO
N[O-]
[NH3+]C1=CC=CC=C1
C#CCC
CCCCCO
CC1=CSC=N1
C1=CCN(C2=CC=CC=C2)C1
CC1=CC=C2OCOC2=C1
C=CCCC
OC1=CC=CC=N1
C1=CC2=C(C=C1)NCCC2
NC1=CC=CN=C1
O=CO
C1=CC2=C(C=C1)CCCC2
NC1=NC=NC=C1
C1=CC2=C(C=C1)OC=C2
OC1=CC=CN=C1
CN1C=CN=C1
CC1=NC=CS1
CCS
C1=CC2=C(C=C1)[NH]C=N2
C=CO
C1=CC2=C(C=C1)NCC2
CC1CC1C
C1=CC=C(C2=NC=CC=C2)C=C1
CCCC#N
CC1=CSC=C1
CC1=CC=C(C2=CC=CC=C2)C=C1
C1=CC2=C(C=C1)CNCC2
CCCBr
C1=NC2=C(C=CS2)C=N1
C1=CC2=C(C=C1)CCC2
NC1=NC=CC=C1
CC1=C[NH]N=C1
